LLM 总参数量: 25960960
LoRA 参数量: 131072
LoRA 参数占比: 0.50%
Epoch:[14/20](600/647) loss:0.529 lr:0.000031074214 epoch_Time:0.0min:
Epoch:[15/20](0/647) loss:2.241 lr:0.000030610737 epoch_Time:63.0min:
Epoch:[15/20](100/647) loss:2.542 lr:0.000029637423 epoch_Time:2.0min:
Epoch:[15/20](200/647) loss:2.546 lr:0.000028682004 epoch_Time:1.0min:
Epoch:[15/20](300/647) loss:1.769 lr:0.000027745045 epoch_Time:1.0min:
Epoch:[15/20](400/647) loss:1.965 lr:0.000026827096 epoch_Time:1.0min:
Epoch:[15/20](500/647) loss:2.633 lr:0.000025928699 epoch_Time:0.0min:
Epoch:[15/20](600/647) loss:0.515 lr:0.000025050384 epoch_Time:0.0min:
Epoch:[16/20](0/647) loss:2.230 lr:0.000024644661 epoch_Time:64.0min:
Epoch:[16/20](100/647) loss:2.536 lr:0.000023796802 epoch_Time:2.0min:
Epoch:[16/20](200/647) loss:2.544 lr:0.000022970282 epoch_Time:1.0min:
Epoch:[16/20](300/647) loss:1.767 lr:0.000022165586 epoch_Time:1.0min:
Epoch:[16/20](400/647) loss:1.964 lr:0.000021383191 epoch_Time:1.0min:
Epoch:[16/20](500/647) loss:2.634 lr:0.000020623556 epoch_Time:0.0min:
Epoch:[16/20](600/647) loss:0.505 lr:0.000019887129 epoch_Time:0.0min:
Epoch:[17/20](0/647) loss:2.222 lr:0.000019549150 epoch_Time:63.0min:
Epoch:[17/20](100/647) loss:2.532 lr:0.000018847624 epoch_Time:2.0min:
Epoch:[17/20](200/647) loss:2.542 lr:0.000018170354 epoch_Time:1.0min:
Epoch:[17/20](300/647) loss:1.766 lr:0.000017517737 epoch_Time:1.0min:
Epoch:[17/20](400/647) loss:1.963 lr:0.000016890160 epoch_Time:1.0min:
Epoch:[17/20](500/647) loss:2.634 lr:0.000016287991 epoch_Time:0.0min:
Epoch:[17/20](600/647) loss:0.498 lr:0.000015711587 epoch_Time:0.0min:
Epoch:[18/20](0/647) loss:2.215 lr:0.000015449674 epoch_Time:64.0min:
Epoch:[18/20](100/647) loss:2.529 lr:0.000014911754 epoch_Time:2.0min:
Epoch:[18/20](200/647) loss:2.540 lr:0.000014400410 epoch_Time:1.0min:
Epoch:[18/20](300/647) loss:1.766 lr:0.000013915942 epoch_Time:1.0min:
Epoch:[18/20](400/647) loss:1.963 lr:0.000013458636 epoch_Time:1.0min:
Epoch:[18/20](500/647) loss:2.634 lr:0.000013028761 epoch_Time:0.0min:
Epoch:[18/20](600/647) loss:0.492 lr:0.000012626572 epoch_Time:0.0min:
Epoch:[19/20](0/647) loss:2.210 lr:0.000012447174 epoch_Time:65.0min:
Epoch:[19/20](100/647) loss:2.526 lr:0.000012086107 epoch_Time:2.0min:
Epoch:[19/20](200/647) loss:2.538 lr:0.000011753280 epoch_Time:1.0min:
Epoch:[19/20](300/647) loss:1.766 lr:0.000011448889 epoch_Time:1.0min:
Epoch:[19/20](400/647) loss:1.963 lr:0.000011173115 epoch_Time:1.0min:
Epoch:[19/20](500/647) loss:2.634 lr:0.000010926119 epoch_Time:0.0min:
Epoch:[19/20](600/647) loss:0.487 lr:0.000010708048 epoch_Time:0.0min:
Epoch:[20/20](0/647) loss:2.206 lr:0.000010615583 epoch_Time:69.0min:
Epoch:[20/20](100/647) loss:2.525 lr:0.000010440258 epoch_Time:2.0min:
Epoch:[20/20](200/647) loss:2.537 lr:0.000010294144 epoch_Time:1.0min:
Epoch:[20/20](300/647) loss:1.766 lr:0.000010177326 epoch_Time:1.0min:
Epoch:[20/20](400/647) loss:1.962 lr:0.000010089874 epoch_Time:1.0min:
Epoch:[20/20](500/647) loss:2.633 lr:0.000010031839 epoch_Time:0.0min:
Epoch:[20/20](600/647) loss:0.482 lr:0.000010003255 epoch_Time:0.0min:
