LLM 总参数量: 25960960
LoRA 参数量: 131072
LoRA 参数占比: 0.50%
Epoch:[13/30](200/795) loss:1.739 lr:0.000074192873 epoch_Time:2.0min:
Epoch:[13/30](300/795) loss:1.673 lr:0.000073560137 epoch_Time:1.0min:
Epoch:[13/30](400/795) loss:1.457 lr:0.000072925047 epoch_Time:1.0min:
Epoch:[13/30](500/795) loss:1.764 lr:0.000072287715 epoch_Time:0.0min:
Epoch:[13/30](600/795) loss:1.364 lr:0.000071648251 epoch_Time:0.0min:
Epoch:[13/30](700/795) loss:2.052 lr:0.000071006766 epoch_Time:0.0min:
Epoch:[14/30](0/795) loss:1.918 lr:0.000070395585 epoch_Time:75.0min:
Epoch:[14/30](100/795) loss:1.399 lr:0.000069750479 epoch_Time:2.0min:
Epoch:[14/30](200/795) loss:1.464 lr:0.000069103681 epoch_Time:2.0min:
Epoch:[14/30](300/795) loss:1.503 lr:0.000068455304 epoch_Time:1.0min:
Epoch:[14/30](400/795) loss:1.451 lr:0.000067805460 epoch_Time:1.0min:
Epoch:[14/30](500/795) loss:1.368 lr:0.000067154262 epoch_Time:0.0min:
Epoch:[14/30](600/795) loss:1.733 lr:0.000066501822 epoch_Time:0.0min:
Epoch:[14/30](700/795) loss:1.557 lr:0.000065848254 epoch_Time:0.0min:
Epoch:[15/30](0/795) loss:1.868 lr:0.000065226423 epoch_Time:68.0min:
Epoch:[15/30](100/795) loss:2.094 lr:0.000064570982 epoch_Time:2.0min:
Epoch:[15/30](200/795) loss:1.740 lr:0.000063914747 epoch_Time:2.0min:
Epoch:[15/30](300/795) loss:1.599 lr:0.000063257834 epoch_Time:1.0min:
Epoch:[15/30](400/795) loss:1.939 lr:0.000062600355 epoch_Time:1.0min:
Epoch:[15/30](500/795) loss:1.768 lr:0.000061942425 epoch_Time:0.0min:
Epoch:[15/30](600/795) loss:1.825 lr:0.000061284158 epoch_Time:0.0min:
Epoch:[15/30](700/795) loss:1.936 lr:0.000060625668 epoch_Time:0.0min:
Epoch:[16/30](0/795) loss:1.611 lr:0.000060000000 epoch_Time:68.0min:
Epoch:[16/30](100/795) loss:1.780 lr:0.000059341404 epoch_Time:2.0min:
Epoch:[16/30](200/795) loss:1.544 lr:0.000058682923 epoch_Time:2.0min:
Epoch:[16/30](300/795) loss:1.680 lr:0.000058024670 epoch_Time:1.0min:
Epoch:[16/30](400/795) loss:1.609 lr:0.000057366760 epoch_Time:1.0min:
Epoch:[16/30](500/795) loss:1.567 lr:0.000056709306 epoch_Time:0.0min:
Epoch:[16/30](600/795) loss:1.775 lr:0.000056052424 epoch_Time:0.0min:
Epoch:[16/30](700/795) loss:1.764 lr:0.000055396226 epoch_Time:0.0min:
Epoch:[17/30](0/795) loss:1.715 lr:0.000054773577 epoch_Time:73.0min:
Epoch:[17/30](100/795) loss:1.796 lr:0.000054119042 epoch_Time:2.0min:
Epoch:[17/30](200/795) loss:1.796 lr:0.000053465528 epoch_Time:2.0min:
Epoch:[17/30](300/795) loss:1.560 lr:0.000052813148 epoch_Time:1.0min:
Epoch:[17/30](400/795) loss:1.553 lr:0.000052162015 epoch_Time:1.0min:
Epoch:[17/30](500/795) loss:1.836 lr:0.000051512241 epoch_Time:0.0min:
Epoch:[17/30](600/795) loss:1.555 lr:0.000050863940 epoch_Time:0.0min:
Epoch:[17/30](700/795) loss:1.717 lr:0.000050217225 epoch_Time:0.0min:
Epoch:[18/30](0/795) loss:1.711 lr:0.000049604415 epoch_Time:69.0min:
Epoch:[18/30](100/795) loss:1.851 lr:0.000048961113 epoch_Time:2.0min:
Epoch:[18/30](200/795) loss:1.876 lr:0.000048319727 epoch_Time:2.0min:
Epoch:[18/30](300/795) loss:1.470 lr:0.000047680367 epoch_Time:1.0min:
Epoch:[18/30](400/795) loss:1.787 lr:0.000047043144 epoch_Time:1.0min:
Epoch:[18/30](500/795) loss:1.573 lr:0.000046408170 epoch_Time:0.0min:
Epoch:[18/30](600/795) loss:1.944 lr:0.000045775554 epoch_Time:0.0min:
Epoch:[18/30](700/795) loss:1.667 lr:0.000045145405 epoch_Time:0.0min:
Epoch:[19/30](0/795) loss:1.890 lr:0.000044549150 epoch_Time:76.0min:
Epoch:[19/30](100/795) loss:1.465 lr:0.000043924129 epoch_Time:2.0min:
Epoch:[19/30](200/795) loss:1.580 lr:0.000043301897 epoch_Time:2.0min:
Epoch:[19/30](300/795) loss:1.701 lr:0.000042682562 epoch_Time:1.0min:
Epoch:[19/30](400/795) loss:1.979 lr:0.000042066232 epoch_Time:1.0min:
Epoch:[19/30](500/795) loss:1.271 lr:0.000041453013 epoch_Time:0.0min:
Epoch:[19/30](600/795) loss:1.525 lr:0.000040843013 epoch_Time:0.0min:
Epoch:[19/30](700/795) loss:1.892 lr:0.000040236336 epoch_Time:0.0min:
Epoch:[20/30](0/795) loss:1.499 lr:0.000039663168 epoch_Time:76.0min:
Epoch:[20/30](100/795) loss:1.355 lr:0.000039063275 epoch_Time:2.0min:
Epoch:[20/30](200/795) loss:1.986 lr:0.000038467015 epoch_Time:2.0min:
Epoch:[20/30](300/795) loss:1.946 lr:0.000037874491 epoch_Time:1.0min:
Epoch:[20/30](400/795) loss:1.692 lr:0.000037285805 epoch_Time:1.0min:
Epoch:[20/30](500/795) loss:1.548 lr:0.000036701061 epoch_Time:0.0min:
Epoch:[20/30](600/795) loss:1.266 lr:0.000036120360 epoch_Time:0.0min:
Epoch:[20/30](700/795) loss:2.035 lr:0.000035543802 epoch_Time:0.0min:
Epoch:[21/30](0/795) loss:1.659 lr:0.000035000000 epoch_Time:76.0min:
Epoch:[21/30](100/795) loss:1.706 lr:0.000034431808 epoch_Time:2.0min:
Epoch:[21/30](200/795) loss:1.671 lr:0.000033868053 epoch_Time:2.0min:
Epoch:[21/30](300/795) loss:1.834 lr:0.000033308831 epoch_Time:1.0min:
Epoch:[21/30](400/795) loss:1.323 lr:0.000032754241 epoch_Time:1.0min:
Epoch:[21/30](500/795) loss:1.390 lr:0.000032204378 epoch_Time:0.0min:
Epoch:[21/30](600/795) loss:1.755 lr:0.000031659337 epoch_Time:0.0min:
Epoch:[21/30](700/795) loss:1.632 lr:0.000031119214 epoch_Time:0.0min:
Epoch:[22/30](0/795) loss:2.021 lr:0.000030610737 epoch_Time:78.0min:
Epoch:[22/30](100/795) loss:1.497 lr:0.000030080472 epoch_Time:2.0min:
Epoch:[22/30](200/795) loss:1.887 lr:0.000029555398 epoch_Time:2.0min:
Epoch:[22/30](300/795) loss:1.573 lr:0.000029035606 epoch_Time:1.0min:
Epoch:[22/30](400/795) loss:1.582 lr:0.000028521186 epoch_Time:1.0min:
Epoch:[22/30](500/795) loss:1.623 lr:0.000028012229 epoch_Time:0.0min:
Epoch:[22/30](600/795) loss:1.964 lr:0.000027508821 epoch_Time:0.0min:
Epoch:[22/30](700/795) loss:1.260 lr:0.000027011051 epoch_Time:0.0min:
Epoch:[23/30](0/795) loss:1.785 lr:0.000026543470 epoch_Time:77.0min:
Epoch:[23/30](100/795) loss:1.686 lr:0.000026056940 epoch_Time:2.0min:
Epoch:[23/30](200/795) loss:1.309 lr:0.000025576300 epoch_Time:2.0min:
Epoch:[23/30](300/795) loss:1.805 lr:0.000025101632 epoch_Time:1.0min:
Epoch:[23/30](400/795) loss:1.898 lr:0.000024633020 epoch_Time:1.0min:
Epoch:[23/30](500/795) loss:1.851 lr:0.000024170544 epoch_Time:0.0min:
Epoch:[23/30](600/795) loss:1.638 lr:0.000023714285 epoch_Time:0.0min:
Epoch:[23/30](700/795) loss:1.423 lr:0.000023264321 epoch_Time:0.0min:
Epoch:[24/30](0/795) loss:1.733 lr:0.000022842759 epoch_Time:76.0min:
Epoch:[24/30](100/795) loss:1.541 lr:0.000022405296 epoch_Time:2.0min:
Epoch:[24/30](200/795) loss:1.902 lr:0.000021974356 epoch_Time:2.0min:
Epoch:[24/30](300/795) loss:1.759 lr:0.000021550013 epoch_Time:1.0min:
Epoch:[24/30](400/795) loss:1.722 lr:0.000021132342 epoch_Time:1.0min:
Epoch:[24/30](500/795) loss:1.761 lr:0.000020721415 epoch_Time:0.0min:
Epoch:[24/30](600/795) loss:1.797 lr:0.000020317303 epoch_Time:0.0min:
Epoch:[24/30](700/795) loss:1.527 lr:0.000019920076 epoch_Time:0.0min:
Epoch:[25/30](0/795) loss:1.607 lr:0.000019549150 epoch_Time:78.0min:
Epoch:[25/30](100/795) loss:1.452 lr:0.000019165547 epoch_Time:2.0min:
Epoch:[25/30](200/795) loss:1.765 lr:0.000018789028 epoch_Time:2.0min:
Epoch:[25/30](300/795) loss:1.716 lr:0.000018419660 epoch_Time:1.0min:
Epoch:[25/30](400/795) loss:1.455 lr:0.000018057506 epoch_Time:1.0min:
Epoch:[25/30](500/795) loss:2.122 lr:0.000017702630 epoch_Time:0.0min:
Epoch:[25/30](600/795) loss:1.759 lr:0.000017355092 epoch_Time:0.0min:
Epoch:[25/30](700/795) loss:1.348 lr:0.000017014954 epoch_Time:0.0min:
Epoch:[26/30](0/795) loss:1.868 lr:0.000016698730 epoch_Time:78.0min:
Epoch:[26/30](100/795) loss:1.864 lr:0.000016373188 epoch_Time:2.0min:
Epoch:[26/30](200/795) loss:1.861 lr:0.000016055217 epoch_Time:2.0min:
Epoch:[26/30](300/795) loss:1.864 lr:0.000015744870 epoch_Time:1.0min:
Epoch:[26/30](400/795) loss:1.708 lr:0.000015442201 epoch_Time:1.0min:
Epoch:[26/30](500/795) loss:1.435 lr:0.000015147264 epoch_Time:0.0min:
Epoch:[26/30](600/795) loss:1.598 lr:0.000014860109 epoch_Time:0.0min:
Epoch:[26/30](700/795) loss:1.872 lr:0.000014580785 epoch_Time:0.0min:
Epoch:[27/30](0/795) loss:1.913 lr:0.000014322727 epoch_Time:77.0min:
Epoch:[27/30](100/795) loss:1.711 lr:0.000014058815 epoch_Time:2.0min:
