LLM 总参数量: 25960960
LoRA 参数量: 131072
LoRA 参数占比: 0.50%
Epoch:[15/30](400/795) loss:1.812 lr:0.000626003549 epoch_Time:1.0min:
Epoch:[15/30](500/795) loss:1.622 lr:0.000619424248 epoch_Time:0.0min:
Epoch:[15/30](600/795) loss:1.705 lr:0.000612841577 epoch_Time:0.0min:
Epoch:[15/30](700/795) loss:1.794 lr:0.000606256677 epoch_Time:0.0min:
Epoch:[16/30](0/795) loss:1.451 lr:0.000600000000 epoch_Time:65.0min:
Epoch:[16/30](100/795) loss:1.622 lr:0.000593414042 epoch_Time:2.0min:
Epoch:[16/30](200/795) loss:1.456 lr:0.000586829227 epoch_Time:2.0min:
Epoch:[16/30](300/795) loss:1.560 lr:0.000580246698 epoch_Time:1.0min:
Epoch:[16/30](400/795) loss:1.526 lr:0.000573667595 epoch_Time:1.0min:
Epoch:[16/30](500/795) loss:1.499 lr:0.000567093062 epoch_Time:0.0min:
Epoch:[16/30](600/795) loss:1.647 lr:0.000560524238 epoch_Time:0.0min:
Epoch:[16/30](700/795) loss:1.583 lr:0.000553962263 epoch_Time:0.0min:
Epoch:[17/30](0/795) loss:1.555 lr:0.000547735768 epoch_Time:66.0min:
Epoch:[17/30](100/795) loss:1.606 lr:0.000541190423 epoch_Time:2.0min:
Epoch:[17/30](200/795) loss:1.613 lr:0.000534655282 epoch_Time:2.0min:
Epoch:[17/30](300/795) loss:1.483 lr:0.000528131479 epoch_Time:1.0min:
Epoch:[17/30](400/795) loss:1.454 lr:0.000521620145 epoch_Time:1.0min:
Epoch:[17/30](500/795) loss:1.734 lr:0.000515122411 epoch_Time:0.0min:
Epoch:[17/30](600/795) loss:1.426 lr:0.000508639404 epoch_Time:0.0min:
Epoch:[17/30](700/795) loss:1.594 lr:0.000502172248 epoch_Time:0.0min:
Epoch:[18/30](0/795) loss:1.594 lr:0.000496044155 epoch_Time:65.0min:
Epoch:[18/30](100/795) loss:1.730 lr:0.000489611134 epoch_Time:2.0min:
Epoch:[18/30](200/795) loss:1.634 lr:0.000483197268 epoch_Time:2.0min:
Epoch:[18/30](300/795) loss:1.401 lr:0.000476803667 epoch_Time:1.0min:
Epoch:[18/30](400/795) loss:1.543 lr:0.000470431441 epoch_Time:1.0min:
Epoch:[18/30](500/795) loss:1.410 lr:0.000464081697 epoch_Time:0.0min:
